Year,Reported Tested,Confirmed Elevated
2001,470,39771
2002,560,51459
2003,411,51444
2004,466,65867
2005,411,69647
2006,430,82341
2007,337,86310
2008,377,91308
2009,417,102532
2010,324,100407
2011,254,98704
