Year,Confirmed Elevated,Total Screened
2001,470,"39,771"
2002,560,"51,459"
2003,411,"51,444"
2004,466,"65,867"
2005,411,"69,647"
2006,430,"82,341"
2007,337,"86,310"
2008,377,"91,308"
