"Lead Hazards Identified, Children < 72 Months of Age: Virginia 2008",Percent
Soil Lead Hazards (Play area and nearby),5
Deteriorated Lead-based Paint of Exterior Surfaces,15
Deteriorated Lead-based Paint of Interior Surfaces,40
Lead Dust Hazard on Window Sills,21
Lead Dust Hazard on Floors,14
Other Sources,5
