Lead Hazard Identified,Number of Hazards Identified
Exterior Lead Based Paint,235
Interior Lead Based Paint,209
Lead Dust Window Sill,146
Lead Dust on Floor,104
Bare Soil - Non Play Areas,27
Bare Soil - Children's Play Areas,16
Recent Remodeling Activity,8
Occupational (Painter - 1),1
Water (Private wells - 3),3
Cultural / Medicines (Kohl - 3),3
Other *,10
