Type of Lead Hazards Identified,Number of Lead Hazards Identified
Exterior Lead Based Paint,235
Interior Lead Based Paint,209
Lead Dust on Window Sill,146
Lead Dust on Floor,104
Bare Soil Non-Children's Play Areas,27
Bare Soil - Children's Play Areas,16
Remodeling Activities,8
Other Identified Sources,17
