Identified Lead Hazard,Percentage
Other Sources,5%
Soil Lead Hazards (Available for Children’s Play),7%
Deteriorated Lead-based Paint of Exterior Surfaces,11%
Deteriorated Lead-based Paint of Interior Surfaces,11%
Lead Dust Hazard on Floors,26%
Lead Dust Hazard on Window Sills,40%
