Year,Confirmed Elevated,Total Screened
2001,470,"39,771"
"2,002",560,"51,459"
2003,411,"51,444"
2004,466,"65,867"
2005,411,"69,647"
"2,006",430,"82,341"
"2,007",337,"86,310"
