Confirmed Elevated,Total Screened,Year
430,"82,341",2006
411,"69,647",2005
466,"65,867",2004
411,"51,444",2003
560,"51,459",2002
470,"39,771",2001
617,"25,786",2000
501,"24,388",1999
942,"23,863",1998
868,"12,905",1997
