Locality,FIPS,Population < 72 Months,Number Confirmed Elevated,Confirmed Blood Lead Level Category 10-14 μg/dL,Confirmed Blood Lead Level Category 15-19 μg/dL,Confirmed Blood Lead Level Category 20-44 μg/dL,Confirmed Blood Lead Level Category 45-69 μg/dL,Confirmed Blood Lead Level Category ≥70 μg/dL
Accomack County,51001,"2,371",5,3,,2,,
Albemarle County,51003,"6,687",3,1,1,1,,
Alleghany County,51005,957,0,,,,,
Amelia County,51007,876,0,,,,,
Amherst County,51009,"2,101",0,,,,,
Appomattox County,51011,993,0,,,,,
Arlington County,51013,"13,798",5,3,2,,,
Augusta County,51015,"4,715",1,,1,,,
Bath County,51017,196,0,,,,,
Bedford County,51019,"4,201",1,1,,,,
Bland County,51021,353,0,,,,,
Botetourt County,51023,"2,011",0,,,,,
Brunswick County,51025,"1,024",1,,1,,,
Buchanan County,51027,"1,343",1,,,1,,
Buckingham County,51029,"1,089",2,1,1,,,
Campbell County,51031,"3,621",0,,,,,
Caroline County,51033,"2,417",0,,,,,
Carroll County,51035,"1,916",1,1,,,,
Charles City County,51036,368,0,,,,,
Charlotte County,51037,858,1,1,,,,
Chesterfield County,51041,"24,257",4,4,,,,
Clarke County,51043,927,0,,,,,
Craig County,51045,319,0,,,,,
Culpeper County,51047,"3,990",0,,,,,
Cumberland County,51049,727,1,1,,,,
Dickenson County,51051,"1,037",0,,,,,
Dinwiddie County,51053,"1,919",0,,,,,
Essex County,51057,796,1,1,,,,
Fairfax County,51059,"87,623",22,17,1,4,,
Fauquier County,51061,"4,684",2,1,,1,,
Floyd County,51063,"1,033",1,1,,,,
Fluvanna County,51065,"1,954",0,,,,,
Franklin County,51067,"3,721",0,,,,,
Frederick County,51069,"6,046",1,1,,,,
Giles County,51071,"1,114",0,,,,,
Gloucester County,51073,"2,259",1,,1,,,
Goochland County,51075,"1,247",2,1,1,,,
Grayson County,51077,825,1,1,,,,
Greene County,51079,"1,592",0,,,,,
Greensville County,51081,596,0,,,,,
Halifax County,51083,"2,409",5,4,1,,,
Hanover County,51085,"6,775",0,,,,,
