Locality,FIPS,Population < 72 Months,Number Confirmed Elevated,Confirmed Blood Lead Level Category 10-14 μg/dL,Confirmed Blood Lead Level Category 15-19 μg/dL,Confirmed Blood Lead Level Category 20-44 μg/dL,Confirmed Blood Lead Level Category 45-69 μg/dL,Confirmed Blood Lead Level Category ≥70 μg/dL
Henrico County,51087,"24,540",14,10,2,2,,
Henry County,51089,"3,537",0,,,,,
Highland County,51091,85,0,,,,,
Isle of Wight County,51093,"2,296",1,1,,,,
James City County,51095,"4,151",0,,,,,
King and Queen County,51097,446,0,,,,,
King George County,51099,"2,184",0,,,,,
King William County,51101,"1,214",0,,,,,
Lancaster County,51103,571,0,,,,,
Lee County,51105,"1,592",0,,,,,
Loudoun County,51107,"33,428",6,5,1,,,
Louisa County,51109,"2,425",1,1,,,,
Lunenburg County,51111,818,1,1,,,,
Madison County,51113,909,0,,,,,
Mathews County,51115,418,0,,,,,
Mecklenburg County,51117,"1,930",2,,2,,,
Middlesex County,51119,529,0,,,,,
Montgomery County,51121,"5,247",1,,,1,,
Nelson County,51125,881,2,1,1,,,
New Kent County,51127,"1,197",0,,,,,
Northampton County,51131,815,1,1,,,,
Northumberland County,51133,631,0,,,,,
Nottoway County,51135,"1,073",1,,1,,,
Orange County,51137,"2,416",0,,,,,
Page County,51139,"1,597",0,,,,,
Patrick County,51141,"1,111",1,,,1,,
Pittsylvania County,51143,"3,984",2,1,1,,,
Powhatan County,51145,"1,739",0,,,,,
Prince Edward County,51147,"1,243",1,,,,1,
Prince George County,51149,"2,369",1,1,,,,
Prince William County,51153,"39,746",12,10,2,,,
Pulaski County,51155,"2,086",0,,,,,
Rappahannock County,51157,393,0,,,,,
Richmond County,51159,497,0,,,,,
Roanoke County,51161,"5,594",2,2,,,,
Rockbridge County,51163,"1,292",1,1,,,,
Rockingham County,51165,"5,552",1,1,,,,
Russell County,51167,"1,864",0,,,,,
Scott County,51169,"1,391",0,,,,,
Shenandoah County,51171,"2,935",0,,,,,
Smyth County,51173,"2,081",0,,,,,
Southampton County,51175,"1,158",0,,,,,
Spotsylvania County,51177,"10,056",0,,,,,
Stafford County,51179,"10,647",0,,,,,
Surry County,51181,437,2,1,,1,,
Sussex County,51183,646,0,,,,,
Tazewell County,51185,"2,859",0,,,,,
Warren County,51187,"2,901",0,,,,,
Washington County,51191,"3,268",0,,,,,
Westmoreland County,51193,"1,112",0,,,,,
Wise County,51195,"2,774",1,1,,,,
Wythe County,51197,"1,930",1,,,,,
York County,51199,"4,681",1,,,,,
Alexandria,51510,"11,391",6,3,,3,,
Bedford,51515,476,1,1,,,,
Bristol,51520,"1,311",1,,1,,,
Buena Vista,51530,483,0,,,,,
Charlottesville,51540,"2,661",3,2,1,,,
Chesapeake,51550,"17,400",2,1,,1,,
Colonial Heights,51570,"1,152",0,,,,,
Covington,51580,404,0,,,,,
Danville,51590,"3,205",4,2,2,,,
Emporia,51595,513,0,,,,,
Fairfax,51600,"1,515",0,,,,,
Falls Church,51610,931,0,,,,,
Franklin,51620,751,0,,,,,
Fredericksburg,51630,"1,910",9,6,1,2,,
Galax,51640,485,0,,,,,
Hampton,51650,"10,539",0,,,,,
Harrisonburg,51660,"2,888",4,1,3,,,
Hopewell,51670,"2,056",3,1,1,1,,
Lexington,51678,233,0,,,,,
Lynchburg,51680,"5,382",5,2,1,2,,
Manassas,51683,"3,824",3,3,,,,
Manassas Park,51685,"1,520",0,,,,,
Martinsville,51690,998,0,,,,,
Newport News,51700,"15,971",10,6,4,2,,
Norfolk,51710,"19,495",12,6,4,2,,
Norton,51720,289,0,,,,,
Petersburg,51730,"2,469",4,3,,1,,
Poquoson,51735,695,0,,,,,
Portsmouth,51740,"8,343",2,2,,,,
Radford,51750,715,0,,,,,
Richmond,51760,"14,987",22,15,4,3,,
Roanoke,51770,"8,168",9,3,2,4,,
Salem,51775,"1,445",2,,2,,,
Staunton,51790,"1,594",1,,,1,,
Suffolk,51800,"7,283",5,2,,3,,
Virginia Beach,51810,"34,899",0,,,,,
Waynesboro,51820,"1,851",0,,,,,
Williamsburg,51830,498,0,,,,,
Winchester,51840,"2,144",1,,1,,,
Virginia,,"611,895",227,140,47,39,1,0
