Locality,FIPS,Population < 36 Months,Number Confirmed Elevated,Confirmed Blood Lead Level Category 10-14 μg/dL,Confirmed Blood Lead Level Category 15-19 μg/dL,Confirmed Blood Lead Level Category 20-44 μg/dL,Confirmed Blood Lead Level Category 45-69 μg/dL,Confirmed Blood Lead Level Category ≥70 μg/dL
Accomack County,51001,"1,155",5,3,,2,,
Albemarle County,51003,"3,303",3,1,1,1,,
Alleghany County,51005,455,0,,,,,
Amelia County,51007,442,0,,,,,
Amherst County,51009,"1,036",0,,,,,
Appomattox County,51011,493,0,,,,,
Arlington County,51013,"7,466",5,3,1,1,,
Augusta County,51015,"2,249",1,1,,,,
Bath County,51017,92,0,,,,,
Bedford County,51019,"1,904",0,,,,,
Bland County,51021,165,0,,,,,
Botetourt County,51023,896,0,,,,,
Brunswick County,51025,508,0,,,,,
Buchanan County,51027,652,0,,,,,
Buckingham County,51029,584,2,1,1,,,
Campbell County,51031,"1,783",0,,,,,
Caroline County,51033,"1,188",0,,,,,
Carroll County,51035,926,1,1,,,,
Charles City County,51036,165,0,,,,,
Charlotte County,51037,438,0,,,,,
Chesterfield County,51041,"11,511",4,4,,,,
Clarke County,51043,425,0,,,,,
Craig County,51045,160,0,,,,,
Culpeper County,51047,"1,904",0,,,,,
Cumberland County,51049,385,1,1,,,,
Dickenson County,51051,515,0,,,,,
Dinwiddie County,51053,933,0,,,,,
Essex County,51057,389,1,1,,,,
Fairfax County,51059,"43,507",19,14,1,4,,
Fauquier County,51061,"2,154",2,1,,1,,
Floyd County,51063,495,1,1,,,,
Fluvanna County,51065,932,0,,,,,
Franklin County,51067,"1,881",0,,,,,
Frederick County,51069,"2,876",1,1,,,,
Giles County,51071,529,0,,,,,
Gloucester County,51073,"1,089",1,,1,,,
Goochland County,51075,606,1,1,,,,
Grayson County,51077,416,1,1,,,,
Greene County,51079,772,0,,,,,
Greensville County,51081,282,0,,,,,
Halifax County,51083,"1,134",4,3,1,,,
Hanover County,51085,"3,047",0,,,,,
Henrico County,51087,"12,142",11,8,1,2,,
Henry County,51089,"1,721",0,,,,,
Highland County,51091,43,0,,,,,
Isle of Wight County,51093,"1,067",0,,,,,
James City County,51095,"1,985",0,,,,,
King and Queen County,51097,212,0,,,,,
King George County,51099,"1,093",0,,,,,
King William County,51101,588,0,,,,,
Lancaster County,51103,258,0,,,,,
Lee County,51105,792,0,,,,,
Loudoun County,51107,"15,955",5,4,1,,,
Louisa County,51109,"1,213",1,1,,,,
Lunenburg County,51111,407,1,1,,,,
Madison County,51113,425,0,,,,,
Mathews County,51115,223,0,,,,,
Mecklenburg County,51117,924,1,,,1,,
Middlesex County,51119,271,0,,,,,
Montgomery County,51121,"2,625",1,,,1,,
Nelson County,51125,433,2,1,1,,,
New Kent County,51127,562,0,,,,,
Northampton County,51131,411,1,1,,,,
Northumberland County,51133,310,0,,,,,
Nottoway County,51135,518,1,,1,,,
Orange County,51137,"1,152",0,,,,,
Page County,51139,761,0,,,,,
Patrick County,51141,535,1,,,1,,
Pittsylvania County,51143,"1,907",1,,1,,,
Powhatan County,51145,810,0,,,,,
Prince Edward County,51147,621,1,,,,1,
Prince George County,51149,"1,161",1,1,,,,
Prince William County,51153,"19,497",11,9,,2,,
Pulaski County,51155,"1,041",0,,,,,
Rappahannock County,51157,188,0,,,,,
Richmond County,51159,230,0,,,,,
Roanoke County,51161,"2,604",2,2,,,,
Rockbridge County,51163,603,1,1,,,,
Rockingham County,51165,"2,682",0,,,,,
Russell County,51167,916,0,,,,,
Scott County,51169,696,0,,,,,
Shenandoah County,51171,"1,455",0,,,,,
Smyth County,51173,"1,002",0,,,,,
Southampton County,51175,566,0,,,,,
Spotsylvania County,51177,"4,765",0,,,,,
Stafford County,51179,"5,085",0,,,,,
Surry County,51181,221,2,1,,1,,
Sussex County,51183,326,0,,,,,
Tazewell County,51185,"1,360",0,,,,,
Warren County,51187,"1,366",0,,,,,
Washington County,51191,"1,584",0,,,,,
Westmoreland County,51193,527,0,,,,,
Wise County,51195,"1,406",0,,,,,
Wythe County,51197,907,1,1,,,,
York County,51199,"2,214",0,,,,,
Alexandria,51510,"6,510",5,2,,3,,
Bedford,51515,245,1,1,,,,
Bristol,51520,659,0,,,,,
Buena Vista,51530,257,0,,,,,
Charlottesville,51540,"1,463",2,1,1,,,
Chesapeake,51550,"8,444",2,1,1,,,
Colonial Heights,51570,569,0,,,,,
Covington,51580,206,0,,,,,
Danville,51590,"1,629",3,2,1,,,
Emporia,51595,244,0,,,,,
Fairfax,51600,759,0,,,,,
Falls Church,51610,487,0,,,,,
Franklin,51620,380,0,,,,,
Fredericksburg,51630,984,6,3,1,2,,
Galax,51640,252,0,,,,,
Hampton,51650,"5,379",0,,,,,
Harrisonburg,51660,"1,488",1,,1,,,
Hopewell,51670,"1,073",2,,1,1,,
Lexington,51678,111,0,,,,,
Lynchburg,51680,"2,805",4,2,,2,,
Manassas,51683,"1,892",3,3,,,,
Manassas Park,51685,777,0,,,,,
Martinsville,51690,517,0,,,,,
Newport News,51700,"8,220",9,6,1,2,,
Norfolk,51710,"10,274",11,5,4,2,,
Norton,51720,160,0,,,,,
Petersburg,51730,"1,316",3,2,,1,,
Poquoson,51735,299,0,,,,,
Portsmouth,51740,"4,244",2,2,,,,
Radford,51750,360,0,,,,,
Richmond,51760,"8,003",16,12,3,1,,
Roanoke,51770,"4,345",8,3,1,4,,
Salem,51775,704,2,,2,,,
Staunton,51790,811,1,,,1,,
Suffolk,51800,"3,446",5,2,,3,,
Virginia Beach,51810,"17,628",0,,,,,
Waynesboro,51820,931,0,,,,,
Williamsburg,51830,264,0,,,,,
Winchester,51840,"1,096",1,,1,,,
Virginia,,"303,439",185,116,29,39,1,
