"Lead Hazards Identified, Children < 72 Months of Age: Virginia, 2009",Percent
Soil Lead Hazards (play area and nearby),14
Deteriorated Lead-based Paint of Exterior Surfaces,20
Deteriorated Lead-based Paint of Interior Surfaces,25
Lead Dust Hazard on Window Silts,22
Lead Dust Hazard on Floors,12
Other Sources,7
