Locality,Zip Code
Accomack County,23301
Accomack County,23302
Accomack County,23308
Accomack County,23336
Accomack County,23356
Accomack County,23357
Accomack County,23359
Accomack County,23395
Accomack County,23399
Accomack County,23404
Accomack County,23407
Accomack County,23409
Accomack County,23410
Accomack County,23417
Accomack County,23418
Accomack County,23420
Accomack County,23421
Accomack County,23426
Accomack County,23440
Accomack County,23442
Albermarle County,22901
Albermarle County,22931
Albermarle County,22937
Albermarle County,22943
Albermarle County,22947
Albermarle County,22959
Albermarle County,24590
Alexandria,22301
Alexandria,22302
Alexandria,22305
Alexandria,22314
Alleghany County,24422
Amelia County,23083
Appomattox County,23958
Arlington County,22201
Arlington County,22203
Arlington County,22204
Arlington County,22205
Arlington County,22206
Arlington County,22207
Arlington County,22211
Augusta County,22843
Augusta County,22939
Augusta County,24430
Augusta County,24432
Augusta County,24437
Augusta County,24459
Augusta County,24467
Augusta County,24476
Augusta County,24479
Augusta County,24485
Augusta County,24486
Bath County,24445
Bath County,24450
Bath County,24434
Bath County,24487
Bedford County,24526
Bland County,24315
Bland County,24318
Bland County,24366
Botetourt County,24066
Botetourt County,24085
Botetourt County,24090
Bristol,24201
Brunswick County,23821
Brunswick County,23888
Brunswick County,23320
Buchanan County,24639
Buckingham County,23936
Buena Vista,24416
Caroline County,22427
Caroline County,22514
Carroll County,24325
Carroll County,24343
Carroll County,24352
Charlotte County,23923
Charlotte County,23934
Charlotte County,23962
Charlotte County,23964
Charlottesville,22903
Chesapeake,23324
Clarke County,22611
Clarke County,22620
Clarke County,22663
Craig County,24127
Craig County,24131
Culpeper County,22713
Culpeper County,22718
Culpeper County,22726
Culpeper County,22729
Culpeper County,22736
Cumberland County,23027
Danville,24540
Danville,24541
Dickenson County,24226
Dickenson County,24272
Dickenson County,24289
Dinwiddie County,23830
Dinwiddie County,23840
Dinwiddie County,23850
Dinwiddie County,23872
Dinwiddie County,23894
Emporia,23847
Essex County,22454
Essex County,22504
Essex County,22509
Essex County,22560
Fairfax County,22307
Falls Church,22046
Fauquier County,22639
Fauquier County,22643
Fauquier County,22734
Floyd County,24072
Floyd County,24091
Floyd County,24105
Floyd County,24380
Fluvanna County,23022
Fluvanna County,23084
Franklin,23851
Frederick County,22645
Frederick County,22654
Galax,24333
Giles County,24086
Giles County,24093
Giles County,24094
Giles County,24124
Giles County,24128
Giles County,24134
Giles County,24147
Giles County,24150
Goochland County,23038
Goochland County,23153
